product_id,manufacturer,mpn,description,category,raw_specs
SCALE-0265,American Std,7038.000,American Standard Colony two-handle kitchen faucet chrome,Faucets,Height 12 in
SCALE-0266,Speed Queen,SWT121,GE top load washer with electromechanical controls 120V,Laundry,Voltage: 120v Watts: 500w
SCALE-0267,GE Appliances,GTW465,GE top load washer electronic control 120 volts,Laundry,500 watts
SCALE-0268,Watts,LFN170M2,Watts brass threaded ball valve fitting 1/2 in,Fittings,0.5 in
SCALE-0269,NIBCO INC,C-9450,NIBCO copper press fitting elbow,Fittings,Weight: 0.25 lb
SCALE-0270,Viega GmbH,V-2971,Viega PEX push-fit coupling brass,Fittings,
SCALE-0271,Unknown,9192-XYZ,"Faucet, single handle, chrome, deck mount, GE brand appliance grade",Faucets,24 in
SCALE-0272,Zurn Industries,QT4,Zurn stainless steel press fitting,Fittings,
SCALE-0273,Grohe,33555,Grohe Eurosmart single lever basin mixer chrome wall mount,Faucets,Height: 6 in
SCALE-0274,Price Pfister,G529,Pfister Ashfield double handle bronze finish faucet,Faucets,Weight: 3.75 lb
SCALE-0275,-- Unbranded --,,"Generic replacement fitting, material unknown, no MPN available",Fittings,
SCALE-0276,Moen Inc,7000,Small faucet unit,Faucets,Weight: 1000 kg
SCALE-0277,Delta Faucet,RP50780,"Delta replacement cartridge, service part",Fittings,0.1 lb
SCALE-0278,Kohler,72218,Kohler Purist widespread bathroom faucet brushed nickel deck mount,Faucets,8 in spread
SCALE-0279,Speed Queen,LWN432,Speed Queen front load commercial washer electronic control,Laundry,240v
SCALE-0280,Amazon Basics,AB-1002,"Generic kitchen faucet sold on marketplace, chrome",Faucets,
SCALE-0281,Moen,7000,Moen 7000 single handle kitchen faucet chrome finish deck mount,Faucets,Height: 15in Weight: 3lb
SCALE-0282,-- Unbranded --,CA87-BN,"Moen Align single-handle pull-down kitchen faucet, brushed nickel",Faucets,Height: 15.25 in
SCALE-0283,DELTA,9192-DST,"Delta Trinsic single handle faucet, matte black, wall mount",Faucets,24in reach
SCALE-0284,Kohler Company,K-596,Kohler Simplice pull-down kitchen faucet stainless steel touchless,Faucets,Weight: 4.5 lbs
SCALE-0285,American Std,7038.000,American Standard Colony two-handle kitchen faucet chrome,Faucets,Height 12 in
SCALE-0286,Speed Queen,SWT121,GE top load washer with electromechanical controls 120V,Laundry,Voltage: 120v Watts: 500w
SCALE-0287,GE Appliances,GTW465,GE top load washer electronic control 120 volts,Laundry,500 watts
SCALE-0288,Watts,LFN170M2,Watts brass threaded ball valve fitting 1/2 in,Fittings,0.5 in
SCALE-0289,NIBCO INC,C-9450,NIBCO copper press fitting elbow,Fittings,Weight: 0.25 lb
SCALE-0290,Viega GmbH,V-2971,Viega PEX push-fit coupling brass,Fittings,
SCALE-0291,Unknown,9192-XYZ,"Faucet, single handle, chrome, deck mount, GE brand appliance grade",Faucets,24 in
SCALE-0292,Zurn Industries,QT4,Zurn stainless steel press fitting,Fittings,
SCALE-0293,Grohe,33555,Grohe Eurosmart single lever basin mixer chrome wall mount,Faucets,Height: 6 in
SCALE-0294,Price Pfister,G529,Pfister Ashfield double handle bronze finish faucet,Faucets,Weight: 3.75 lb
SCALE-0295,-- Unbranded --,,"Generic replacement fitting, material unknown, no MPN available",Fittings,
SCALE-0296,Moen Inc,7000,Small faucet unit,Faucets,Weight: 1000 kg
SCALE-0297,Delta Faucet,RP50780,"Delta replacement cartridge, service part",Fittings,0.1 lb
SCALE-0298,Kohler,72218,Kohler Purist widespread bathroom faucet brushed nickel deck mount,Faucets,8 in spread
SCALE-0299,Speed Queen,LWN432,Speed Queen front load commercial washer electronic control,Laundry,240v
SCALE-0300,Amazon Basics,AB-1002,"Generic kitchen faucet sold on marketplace, chrome",Faucets,
SCALE-0301,Moen,7000,Moen 7000 single handle kitchen faucet chrome finish deck mount,Faucets,Height: 15in Weight: 3lb
SCALE-0302,-- Unbranded --,CA87-BN,"Moen Align single-handle pull-down kitchen faucet, brushed nickel",Faucets,Height: 15.25 in
SCALE-0303,DELTA,9192-DST,"Delta Trinsic single handle faucet, matte black, wall mount",Faucets,24in reach
SCALE-0304,Kohler Company,K-596,Kohler Simplice pull-down kitchen faucet stainless steel touchless,Faucets,Weight: 4.5 lbs
SCALE-0305,American Std,7038.000,American Standard Colony two-handle kitchen faucet chrome,Faucets,Height 12 in
SCALE-0306,Speed Queen,SWT121,GE top load washer with electromechanical controls 120V,Laundry,Voltage: 120v Watts: 500w
SCALE-0307,GE Appliances,GTW465,GE top load washer electronic control 120 volts,Laundry,500 watts
SCALE-0308,Watts,LFN170M2,Watts brass threaded ball valve fitting 1/2 in,Fittings,0.5 in
SCALE-0309,NIBCO INC,C-9450,NIBCO copper press fitting elbow,Fittings,Weight: 0.25 lb
SCALE-0310,Viega GmbH,V-2971,Viega PEX push-fit coupling brass,Fittings,
SCALE-0311,Unknown,9192-XYZ,"Faucet, single handle, chrome, deck mount, GE brand appliance grade",Faucets,24 in
SCALE-0312,Zurn Industries,QT4,Zurn stainless steel press fitting,Fittings,
SCALE-0313,Grohe,33555,Grohe Eurosmart single lever basin mixer chrome wall mount,Faucets,Height: 6 in
SCALE-0314,Price Pfister,G529,Pfister Ashfield double handle bronze finish faucet,Faucets,Weight: 3.75 lb
SCALE-0315,-- Unbranded --,,"Generic replacement fitting, material unknown, no MPN available",Fittings,
SCALE-0316,Moen Inc,7000,Small faucet unit,Faucets,Weight: 1000 kg
SCALE-0317,Delta Faucet,RP50780,"Delta replacement cartridge, service part",Fittings,0.1 lb
SCALE-0318,Kohler,72218,Kohler Purist widespread bathroom faucet brushed nickel deck mount,Faucets,8 in spread
SCALE-0319,Speed Queen,LWN432,Speed Queen front load commercial washer electronic control,Laundry,240v
SCALE-0320,Amazon Basics,AB-1002,"Generic kitchen faucet sold on marketplace, chrome",Faucets,
SCALE-0321,Moen,7000,Moen 7000 single handle kitchen faucet chrome finish deck mount,Faucets,Height: 15in Weight: 3lb
SCALE-0322,-- Unbranded --,CA87-BN,"Moen Align single-handle pull-down kitchen faucet, brushed nickel",Faucets,Height: 15.25 in
SCALE-0323,DELTA,9192-DST,"Delta Trinsic single handle faucet, matte black, wall mount",Faucets,24in reach
SCALE-0324,Kohler Company,K-596,Kohler Simplice pull-down kitchen faucet stainless steel touchless,Faucets,Weight: 4.5 lbs
SCALE-0325,American Std,7038.000,American Standard Colony two-handle kitchen faucet chrome,Faucets,Height 12 in
SCALE-0326,Speed Queen,SWT121,GE top load washer with electromechanical controls 120V,Laundry,Voltage: 120v Watts: 500w
SCALE-0327,GE Appliances,GTW465,GE top load washer electronic control 120 volts,Laundry,500 watts
SCALE-0328,Watts,LFN170M2,Watts brass threaded ball valve fitting 1/2 in,Fittings,0.5 in
SCALE-0329,NIBCO INC,C-9450,NIBCO copper press fitting elbow,Fittings,Weight: 0.25 lb
SCALE-0330,Viega GmbH,V-2971,Viega PEX push-fit coupling brass,Fittings,
SCALE-0331,Unknown,9192-XYZ,"Faucet, single handle, chrome, deck mount, GE brand appliance grade",Faucets,24 in
SCALE-0332,Zurn Industries,QT4,Zurn stainless steel press fitting,Fittings,
SCALE-0333,Grohe,33555,Grohe Eurosmart single lever basin mixer chrome wall mount,Faucets,Height: 6 in
SCALE-0334,Price Pfister,G529,Pfister Ashfield double handle bronze finish faucet,Faucets,Weight: 3.75 lb
SCALE-0335,-- Unbranded --,,"Generic replacement fitting, material unknown, no MPN available",Fittings,
SCALE-0336,Moen Inc,7000,Small faucet unit,Faucets,Weight: 1000 kg
SCALE-0337,Delta Faucet,RP50780,"Delta replacement cartridge, service part",Fittings,0.1 lb
SCALE-0338,Kohler,72218,Kohler Purist widespread bathroom faucet brushed nickel deck mount,Faucets,8 in spread
SCALE-0339,Speed Queen,LWN432,Speed Queen front load commercial washer electronic control,Laundry,240v
SCALE-0340,Amazon Basics,AB-1002,"Generic kitchen faucet sold on marketplace, chrome",Faucets,
SCALE-0341,Moen,7000,Moen 7000 single handle kitchen faucet chrome finish deck mount,Faucets,Height: 15in Weight: 3lb
SCALE-0342,-- Unbranded --,CA87-BN,"Moen Align single-handle pull-down kitchen faucet, brushed nickel",Faucets,Height: 15.25 in
SCALE-0343,DELTA,9192-DST,"Delta Trinsic single handle faucet, matte black, wall mount",Faucets,24in reach
SCALE-0344,Kohler Company,K-596,Kohler Simplice pull-down kitchen faucet stainless steel touchless,Faucets,Weight: 4.5 lbs
SCALE-0345,American Std,7038.000,American Standard Colony two-handle kitchen faucet chrome,Faucets,Height 12 in
SCALE-0346,Speed Queen,SWT121,GE top load washer with electromechanical controls 120V,Laundry,Voltage: 120v Watts: 500w
SCALE-0347,GE Appliances,GTW465,GE top load washer electronic control 120 volts,Laundry,500 watts
SCALE-0348,Watts,LFN170M2,Watts brass threaded ball valve fitting 1/2 in,Fittings,0.5 in
SCALE-0349,NIBCO INC,C-9450,NIBCO copper press fitting elbow,Fittings,Weight: 0.25 lb
SCALE-0350,Viega GmbH,V-2971,Viega PEX push-fit coupling brass,Fittings,
SCALE-0351,Unknown,9192-XYZ,"Faucet, single handle, chrome, deck mount, GE brand appliance grade",Faucets,24 in
SCALE-0352,Zurn Industries,QT4,Zurn stainless steel press fitting,Fittings,
SCALE-0353,Grohe,33555,Grohe Eurosmart single lever basin mixer chrome wall mount,Faucets,Height: 6 in
SCALE-0354,Price Pfister,G529,Pfister Ashfield double handle bronze finish faucet,Faucets,Weight: 3.75 lb
SCALE-0355,-- Unbranded --,,"Generic replacement fitting, material unknown, no MPN available",Fittings,
SCALE-0356,Moen Inc,7000,Small faucet unit,Faucets,Weight: 1000 kg
SCALE-0357,Delta Faucet,RP50780,"Delta replacement cartridge, service part",Fittings,0.1 lb
SCALE-0358,Kohler,72218,Kohler Purist widespread bathroom faucet brushed nickel deck mount,Faucets,8 in spread
SCALE-0359,Speed Queen,LWN432,Speed Queen front load commercial washer electronic control,Laundry,240v
SCALE-0360,Amazon Basics,AB-1002,"Generic kitchen faucet sold on marketplace, chrome",Faucets,
SCALE-0361,Moen,7000,Moen 7000 single handle kitchen faucet chrome finish deck mount,Faucets,Height: 15in Weight: 3lb
SCALE-0362,-- Unbranded --,CA87-BN,"Moen Align single-handle pull-down kitchen faucet, brushed nickel",Faucets,Height: 15.25 in
SCALE-0363,DELTA,9192-DST,"Delta Trinsic single handle faucet, matte black, wall mount",Faucets,24in reach
SCALE-0364,Kohler Company,K-596,Kohler Simplice pull-down kitchen faucet stainless steel touchless,Faucets,Weight: 4.5 lbs
SCALE-0365,American Std,7038.000,American Standard Colony two-handle kitchen faucet chrome,Faucets,Height 12 in
SCALE-0366,Speed Queen,SWT121,GE top load washer with electromechanical controls 120V,Laundry,Voltage: 120v Watts: 500w
SCALE-0367,GE Appliances,GTW465,GE top load washer electronic control 120 volts,Laundry,500 watts
SCALE-0368,Watts,LFN170M2,Watts brass threaded ball valve fitting 1/2 in,Fittings,0.5 in
SCALE-0369,NIBCO INC,C-9450,NIBCO copper press fitting elbow,Fittings,Weight: 0.25 lb
SCALE-0370,Viega GmbH,V-2971,Viega PEX push-fit coupling brass,Fittings,
SCALE-0371,Unknown,9192-XYZ,"Faucet, single handle, chrome, deck mount, GE brand appliance grade",Faucets,24 in
SCALE-0372,Zurn Industries,QT4,Zurn stainless steel press fitting,Fittings,
SCALE-0373,Grohe,33555,Grohe Eurosmart single lever basin mixer chrome wall mount,Faucets,Height: 6 in
SCALE-0374,Price Pfister,G529,Pfister Ashfield double handle bronze finish faucet,Faucets,Weight: 3.75 lb
SCALE-0375,-- Unbranded --,,"Generic replacement fitting, material unknown, no MPN available",Fittings,
SCALE-0376,Moen Inc,7000,Small faucet unit,Faucets,Weight: 1000 kg
SCALE-0377,Delta Faucet,RP50780,"Delta replacement cartridge, service part",Fittings,0.1 lb
SCALE-0378,Kohler,72218,Kohler Purist widespread bathroom faucet brushed nickel deck mount,Faucets,8 in spread
SCALE-0379,Speed Queen,LWN432,Speed Queen front load commercial washer electronic control,Laundry,240v
SCALE-0380,Amazon Basics,AB-1002,"Generic kitchen faucet sold on marketplace, chrome",Faucets,
SCALE-0381,Moen,7000,Moen 7000 single handle kitchen faucet chrome finish deck mount,Faucets,Height: 15in Weight: 3lb
SCALE-0382,-- Unbranded --,CA87-BN,"Moen Align single-handle pull-down kitchen faucet, brushed nickel",Faucets,Height: 15.25 in
SCALE-0383,DELTA,9192-DST,"Delta Trinsic single handle faucet, matte black, wall mount",Faucets,24in reach
SCALE-0384,Kohler Company,K-596,Kohler Simplice pull-down kitchen faucet stainless steel touchless,Faucets,Weight: 4.5 lbs
SCALE-0385,American Std,7038.000,American Standard Colony two-handle kitchen faucet chrome,Faucets,Height 12 in
SCALE-0386,Speed Queen,SWT121,GE top load washer with electromechanical controls 120V,Laundry,Voltage: 120v Watts: 500w
SCALE-0387,GE Appliances,GTW465,GE top load washer electronic control 120 volts,Laundry,500 watts
SCALE-0388,Watts,LFN170M2,Watts brass threaded ball valve fitting 1/2 in,Fittings,0.5 in
SCALE-0389,NIBCO INC,C-9450,NIBCO copper press fitting elbow,Fittings,Weight: 0.25 lb
SCALE-0390,Viega GmbH,V-2971,Viega PEX push-fit coupling brass,Fittings,
SCALE-0391,Unknown,9192-XYZ,"Faucet, single handle, chrome, deck mount, GE brand appliance grade",Faucets,24 in
SCALE-0392,Zurn Industries,QT4,Zurn stainless steel press fitting,Fittings,
SCALE-0393,Grohe,33555,Grohe Eurosmart single lever basin mixer chrome wall mount,Faucets,Height: 6 in
SCALE-0394,Price Pfister,G529,Pfister Ashfield double handle bronze finish faucet,Faucets,Weight: 3.75 lb
SCALE-0395,-- Unbranded --,,"Generic replacement fitting, material unknown, no MPN available",Fittings,
SCALE-0396,Moen Inc,7000,Small faucet unit,Faucets,Weight: 1000 kg
SCALE-0397,Delta Faucet,RP50780,"Delta replacement cartridge, service part",Fittings,0.1 lb
SCALE-0398,Kohler,72218,Kohler Purist widespread bathroom faucet brushed nickel deck mount,Faucets,8 in spread
SCALE-0399,Speed Queen,LWN432,Speed Queen front load commercial washer electronic control,Laundry,240v
SCALE-0400,Amazon Basics,AB-1002,"Generic kitchen faucet sold on marketplace, chrome",Faucets,
SCALE-0401,Moen,7000,Moen 7000 single handle kitchen faucet chrome finish deck mount,Faucets,Height: 15in Weight: 3lb
SCALE-0402,-- Unbranded --,CA87-BN,"Moen Align single-handle pull-down kitchen faucet, brushed nickel",Faucets,Height: 15.25 in
SCALE-0403,DELTA,9192-DST,"Delta Trinsic single handle faucet, matte black, wall mount",Faucets,24in reach
SCALE-0404,Kohler Company,K-596,Kohler Simplice pull-down kitchen faucet stainless steel touchless,Faucets,Weight: 4.5 lbs
SCALE-0405,American Std,7038.000,American Standard Colony two-handle kitchen faucet chrome,Faucets,Height 12 in
SCALE-0406,Speed Queen,SWT121,GE top load washer with electromechanical controls 120V,Laundry,Voltage: 120v Watts: 500w
SCALE-0407,GE Appliances,GTW465,GE top load washer electronic control 120 volts,Laundry,500 watts
SCALE-0408,Watts,LFN170M2,Watts brass threaded ball valve fitting 1/2 in,Fittings,0.5 in
SCALE-0409,NIBCO INC,C-9450,NIBCO copper press fitting elbow,Fittings,Weight: 0.25 lb
SCALE-0410,Viega GmbH,V-2971,Viega PEX push-fit coupling brass,Fittings,
SCALE-0411,Unknown,9192-XYZ,"Faucet, single handle, chrome, deck mount, GE brand appliance grade",Faucets,24 in
SCALE-0412,Zurn Industries,QT4,Zurn stainless steel press fitting,Fittings,
SCALE-0413,Grohe,33555,Grohe Eurosmart single lever basin mixer chrome wall mount,Faucets,Height: 6 in
SCALE-0414,Price Pfister,G529,Pfister Ashfield double handle bronze finish faucet,Faucets,Weight: 3.75 lb
SCALE-0415,-- Unbranded --,,"Generic replacement fitting, material unknown, no MPN available",Fittings,
SCALE-0416,Moen Inc,7000,Small faucet unit,Faucets,Weight: 1000 kg
SCALE-0417,Delta Faucet,RP50780,"Delta replacement cartridge, service part",Fittings,0.1 lb
SCALE-0418,Kohler,72218,Kohler Purist widespread bathroom faucet brushed nickel deck mount,Faucets,8 in spread
SCALE-0419,Speed Queen,LWN432,Speed Queen front load commercial washer electronic control,Laundry,240v
SCALE-0420,Amazon Basics,AB-1002,"Generic kitchen faucet sold on marketplace, chrome",Faucets,
SCALE-0421,Moen,7000,Moen 7000 single handle kitchen faucet chrome finish deck mount,Faucets,Height: 15in Weight: 3lb
SCALE-0422,-- Unbranded --,CA87-BN,"Moen Align single-handle pull-down kitchen faucet, brushed nickel",Faucets,Height: 15.25 in
SCALE-0423,DELTA,9192-DST,"Delta Trinsic single handle faucet, matte black, wall mount",Faucets,24in reach
SCALE-0424,Kohler Company,K-596,Kohler Simplice pull-down kitchen faucet stainless steel touchless,Faucets,Weight: 4.5 lbs
SCALE-0425,American Std,7038.000,American Standard Colony two-handle kitchen faucet chrome,Faucets,Height 12 in
SCALE-0426,Speed Queen,SWT121,GE top load washer with electromechanical controls 120V,Laundry,Voltage: 120v Watts: 500w
SCALE-0427,GE Appliances,GTW465,GE top load washer electronic control 120 volts,Laundry,500 watts
SCALE-0428,Watts,LFN170M2,Watts brass threaded ball valve fitting 1/2 in,Fittings,0.5 in
SCALE-0429,NIBCO INC,C-9450,NIBCO copper press fitting elbow,Fittings,Weight: 0.25 lb
SCALE-0430,Viega GmbH,V-2971,Viega PEX push-fit coupling brass,Fittings,
SCALE-0431,Unknown,9192-XYZ,"Faucet, single handle, chrome, deck mount, GE brand appliance grade",Faucets,24 in
SCALE-0432,Zurn Industries,QT4,Zurn stainless steel press fitting,Fittings,
SCALE-0433,Grohe,33555,Grohe Eurosmart single lever basin mixer chrome wall mount,Faucets,Height: 6 in
SCALE-0434,Price Pfister,G529,Pfister Ashfield double handle bronze finish faucet,Faucets,Weight: 3.75 lb
SCALE-0435,-- Unbranded --,,"Generic replacement fitting, material unknown, no MPN available",Fittings,
SCALE-0436,Moen Inc,7000,Small faucet unit,Faucets,Weight: 1000 kg
SCALE-0437,Delta Faucet,RP50780,"Delta replacement cartridge, service part",Fittings,0.1 lb
SCALE-0438,Kohler,72218,Kohler Purist widespread bathroom faucet brushed nickel deck mount,Faucets,8 in spread
SCALE-0439,Speed Queen,LWN432,Speed Queen front load commercial washer electronic control,Laundry,240v
SCALE-0440,Amazon Basics,AB-1002,"Generic kitchen faucet sold on marketplace, chrome",Faucets,
SCALE-0441,Moen,7000,Moen 7000 single handle kitchen faucet chrome finish deck mount,Faucets,Height: 15in Weight: 3lb
SCALE-0442,-- Unbranded --,CA87-BN,"Moen Align single-handle pull-down kitchen faucet, brushed nickel",Faucets,Height: 15.25 in
SCALE-0443,DELTA,9192-DST,"Delta Trinsic single handle faucet, matte black, wall mount",Faucets,24in reach
SCALE-0444,Kohler Company,K-596,Kohler Simplice pull-down kitchen faucet stainless steel touchless,Faucets,Weight: 4.5 lbs
SCALE-0445,American Std,7038.000,American Standard Colony two-handle kitchen faucet chrome,Faucets,Height 12 in
SCALE-0446,Speed Queen,SWT121,GE top load washer with electromechanical controls 120V,Laundry,Voltage: 120v Watts: 500w
SCALE-0447,GE Appliances,GTW465,GE top load washer electronic control 120 volts,Laundry,500 watts
SCALE-0448,Watts,LFN170M2,Watts brass threaded ball valve fitting 1/2 in,Fittings,0.5 in
SCALE-0449,NIBCO INC,C-9450,NIBCO copper press fitting elbow,Fittings,Weight: 0.25 lb
SCALE-0450,Viega GmbH,V-2971,Viega PEX push-fit coupling brass,Fittings,
SCALE-0451,Unknown,9192-XYZ,"Faucet, single handle, chrome, deck mount, GE brand appliance grade",Faucets,24 in
SCALE-0452,Zurn Industries,QT4,Zurn stainless steel press fitting,Fittings,
SCALE-0453,Grohe,33555,Grohe Eurosmart single lever basin mixer chrome wall mount,Faucets,Height: 6 in
SCALE-0454,Price Pfister,G529,Pfister Ashfield double handle bronze finish faucet,Faucets,Weight: 3.75 lb
SCALE-0455,-- Unbranded --,,"Generic replacement fitting, material unknown, no MPN available",Fittings,
SCALE-0456,Moen Inc,7000,Small faucet unit,Faucets,Weight: 1000 kg
SCALE-0457,Delta Faucet,RP50780,"Delta replacement cartridge, service part",Fittings,0.1 lb
SCALE-0458,Kohler,72218,Kohler Purist widespread bathroom faucet brushed nickel deck mount,Faucets,8 in spread
SCALE-0459,Speed Queen,LWN432,Speed Queen front load commercial washer electronic control,Laundry,240v
SCALE-0460,Amazon Basics,AB-1002,"Generic kitchen faucet sold on marketplace, chrome",Faucets,
SCALE-0461,Moen,7000,Moen 7000 single handle kitchen faucet chrome finish deck mount,Faucets,Height: 15in Weight: 3lb
SCALE-0462,-- Unbranded --,CA87-BN,"Moen Align single-handle pull-down kitchen faucet, brushed nickel",Faucets,Height: 15.25 in
SCALE-0463,DELTA,9192-DST,"Delta Trinsic single handle faucet, matte black, wall mount",Faucets,24in reach
SCALE-0464,Kohler Company,K-596,Kohler Simplice pull-down kitchen faucet stainless steel touchless,Faucets,Weight: 4.5 lbs
SCALE-0465,American Std,7038.000,American Standard Colony two-handle kitchen faucet chrome,Faucets,Height 12 in
SCALE-0466,Speed Queen,SWT121,GE top load washer with electromechanical controls 120V,Laundry,Voltage: 120v Watts: 500w
SCALE-0467,GE Appliances,GTW465,GE top load washer electronic control 120 volts,Laundry,500 watts
SCALE-0468,Watts,LFN170M2,Watts brass threaded ball valve fitting 1/2 in,Fittings,0.5 in
SCALE-0469,NIBCO INC,C-9450,NIBCO copper press fitting elbow,Fittings,Weight: 0.25 lb
SCALE-0470,Viega GmbH,V-2971,Viega PEX push-fit coupling brass,Fittings,
SCALE-0471,Unknown,9192-XYZ,"Faucet, single handle, chrome, deck mount, GE brand appliance grade",Faucets,24 in
SCALE-0472,Zurn Industries,QT4,Zurn stainless steel press fitting,Fittings,
SCALE-0473,Grohe,33555,Grohe Eurosmart single lever basin mixer chrome wall mount,Faucets,Height: 6 in
SCALE-0474,Price Pfister,G529,Pfister Ashfield double handle bronze finish faucet,Faucets,Weight: 3.75 lb
SCALE-0475,-- Unbranded --,,"Generic replacement fitting, material unknown, no MPN available",Fittings,
SCALE-0476,Moen Inc,7000,Small faucet unit,Faucets,Weight: 1000 kg
SCALE-0477,Delta Faucet,RP50780,"Delta replacement cartridge, service part",Fittings,0.1 lb
SCALE-0478,Kohler,72218,Kohler Purist widespread bathroom faucet brushed nickel deck mount,Faucets,8 in spread
SCALE-0479,Speed Queen,LWN432,Speed Queen front load commercial washer electronic control,Laundry,240v
SCALE-0480,Amazon Basics,AB-1002,"Generic kitchen faucet sold on marketplace, chrome",Faucets,
SCALE-0481,Moen,7000,Moen 7000 single handle kitchen faucet chrome finish deck mount,Faucets,Height: 15in Weight: 3lb
SCALE-0482,-- Unbranded --,CA87-BN,"Moen Align single-handle pull-down kitchen faucet, brushed nickel",Faucets,Height: 15.25 in
SCALE-0483,DELTA,9192-DST,"Delta Trinsic single handle faucet, matte black, wall mount",Faucets,24in reach
SCALE-0484,Kohler Company,K-596,Kohler Simplice pull-down kitchen faucet stainless steel touchless,Faucets,Weight: 4.5 lbs
SCALE-0485,American Std,7038.000,American Standard Colony two-handle kitchen faucet chrome,Faucets,Height 12 in
SCALE-0486,Speed Queen,SWT121,GE top load washer with electromechanical controls 120V,Laundry,Voltage: 120v Watts: 500w
SCALE-0487,GE Appliances,GTW465,GE top load washer electronic control 120 volts,Laundry,500 watts
SCALE-0488,Watts,LFN170M2,Watts brass threaded ball valve fitting 1/2 in,Fittings,0.5 in
SCALE-0489,NIBCO INC,C-9450,NIBCO copper press fitting elbow,Fittings,Weight: 0.25 lb
SCALE-0490,Viega GmbH,V-2971,Viega PEX push-fit coupling brass,Fittings,
SCALE-0491,Unknown,9192-XYZ,"Faucet, single handle, chrome, deck mount, GE brand appliance grade",Faucets,24 in
SCALE-0492,Zurn Industries,QT4,Zurn stainless steel press fitting,Fittings,
SCALE-0493,Grohe,33555,Grohe Eurosmart single lever basin mixer chrome wall mount,Faucets,Height: 6 in
SCALE-0494,Price Pfister,G529,Pfister Ashfield double handle bronze finish faucet,Faucets,Weight: 3.75 lb
SCALE-0495,-- Unbranded --,,"Generic replacement fitting, material unknown, no MPN available",Fittings,
SCALE-0496,Moen Inc,7000,Small faucet unit,Faucets,Weight: 1000 kg
SCALE-0497,Delta Faucet,RP50780,"Delta replacement cartridge, service part",Fittings,0.1 lb
SCALE-0498,Kohler,72218,Kohler Purist widespread bathroom faucet brushed nickel deck mount,Faucets,8 in spread
SCALE-0499,Speed Queen,LWN432,Speed Queen front load commercial washer electronic control,Laundry,240v
SCALE-0500,Amazon Basics,AB-1002,"Generic kitchen faucet sold on marketplace, chrome",Faucets,
SCALE-0501,Moen,7000,Moen 7000 single handle kitchen faucet chrome finish deck mount,Faucets,Height: 15in Weight: 3lb
SCALE-0502,-- Unbranded --,CA87-BN,"Moen Align single-handle pull-down kitchen faucet, brushed nickel",Faucets,Height: 15.25 in
SCALE-0503,DELTA,9192-DST,"Delta Trinsic single handle faucet, matte black, wall mount",Faucets,24in reach
SCALE-0504,Kohler Company,K-596,Kohler Simplice pull-down kitchen faucet stainless steel touchless,Faucets,Weight: 4.5 lbs
SCALE-0505,American Std,7038.000,American Standard Colony two-handle kitchen faucet chrome,Faucets,Height 12 in
SCALE-0506,Speed Queen,SWT121,GE top load washer with electromechanical controls 120V,Laundry,Voltage: 120v Watts: 500w
SCALE-0507,GE Appliances,GTW465,GE top load washer electronic control 120 volts,Laundry,500 watts
SCALE-0508,Watts,LFN170M2,Watts brass threaded ball valve fitting 1/2 in,Fittings,0.5 in
SCALE-0509,NIBCO INC,C-9450,NIBCO copper press fitting elbow,Fittings,Weight: 0.25 lb
SCALE-0510,Viega GmbH,V-2971,Viega PEX push-fit coupling brass,Fittings,
SCALE-0511,Unknown,9192-XYZ,"Faucet, single handle, chrome, deck mount, GE brand appliance grade",Faucets,24 in
SCALE-0512,Zurn Industries,QT4,Zurn stainless steel press fitting,Fittings,
SCALE-0513,Grohe,33555,Grohe Eurosmart single lever basin mixer chrome wall mount,Faucets,Height: 6 in
SCALE-0514,Price Pfister,G529,Pfister Ashfield double handle bronze finish faucet,Faucets,Weight: 3.75 lb
SCALE-0515,-- Unbranded --,,"Generic replacement fitting, material unknown, no MPN available",Fittings,
SCALE-0516,Moen Inc,7000,Small faucet unit,Faucets,Weight: 1000 kg
SCALE-0517,Delta Faucet,RP50780,"Delta replacement cartridge, service part",Fittings,0.1 lb
SCALE-0518,Kohler,72218,Kohler Purist widespread bathroom faucet brushed nickel deck mount,Faucets,8 in spread
SCALE-0519,Speed Queen,LWN432,Speed Queen front load commercial washer electronic control,Laundry,240v
SCALE-0520,Amazon Basics,AB-1002,"Generic kitchen faucet sold on marketplace, chrome",Faucets,
SCALE-0521,Moen,7000,Moen 7000 single handle kitchen faucet chrome finish deck mount,Faucets,Height: 15in Weight: 3lb
SCALE-0522,-- Unbranded --,CA87-BN,"Moen Align single-handle pull-down kitchen faucet, brushed nickel",Faucets,Height: 15.25 in
SCALE-0523,DELTA,9192-DST,"Delta Trinsic single handle faucet, matte black, wall mount",Faucets,24in reach
SCALE-0524,Kohler Company,K-596,Kohler Simplice pull-down kitchen faucet stainless steel touchless,Faucets,Weight: 4.5 lbs
SCALE-0525,American Std,7038.000,American Standard Colony two-handle kitchen faucet chrome,Faucets,Height 12 in
SCALE-0526,Speed Queen,SWT121,GE top load washer with electromechanical controls 120V,Laundry,Voltage: 120v Watts: 500w
SCALE-0527,GE Appliances,GTW465,GE top load washer electronic control 120 volts,Laundry,500 watts
SCALE-0528,Watts,LFN170M2,Watts brass threaded ball valve fitting 1/2 in,Fittings,0.5 in
SCALE-0529,NIBCO INC,C-9450,NIBCO copper press fitting elbow,Fittings,Weight: 0.25 lb
SCALE-0530,Viega GmbH,V-2971,Viega PEX push-fit coupling brass,Fittings,
